index,name,duration_ms,popularity,num_markets,album,disc_number,is_explicit,track_number,release_date,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,lyrics,region
0,Lolo - Intro,41053,46,77,2001,1,True,1,1999-11-16,Dr. Dre,0.455,0.714,0,-13.58,1,0.527,0.0593,0,0.259,0.154,126.669,4,"[Intro]
(THX Sound)

[Skit: Xzibit + Tray-Dee]
Goddamn, wassup, nigga?
Oh, shit
Wassup?
Hey, that motherfucker clean
Who was that?
Hey, that's Dre, nigga, that's the
Look at that shit
Hangin' that motherfucker, goddamn
That nigga chromed out up under that motherfucker
Hangin' on the bumper X
Hey, hang that shit

[Outro: Kurupt]
What up, Dr. Dre?",westcoast
1,The Watcher,206546,57,77,2001,1,True,2,1999-11-16,Dr. Dre,0.938,0.49,7,-3.527,1,0.218,0.198,0,0.238,0.504,97.591,4,"[Verse 1: Dr. Dre]
Things just ain't the same for gangstas
Times is changin', young niggas is agin'
Becoming OGs in the game and changin'
To make way for these new names and faces
But the strangest things can happen from rappin'
When niggas get wrapped up in image and actin'
Niggas get capped up and wrapped in plastic
Zipped up in bags: when it happens, that's it
I've seen 'em come, I've watched 'em go
Watched 'em rise, witnessed it and watched 'em blow
Watched 'em all blossom and watched 'em grow
Watched the lawsuits when they lost the dough
Best friends and money: I lost them both
Went and visited niggas in the hospital
It's all the same shit all across the globe
I just sit back and watch the show (The watcher)

[Chorus: Eminem & Knoc-turn'al]
'Cause everywhere that I go
Ain't the same as befo' (The watcher)
People I used to know
Just don't know me no mo' (The watcher)
But everywhere that I go
I got people I know (The watcher)
Who got people they know
So I suggest you lay low (I watch)

[Verse 2: Dr. Dre]
I moved out of the hood for good, you blame me?
Niggas aim mainly at niggas they can't be
But niggas can't hit niggas they can't see
I'm out of sight, now I'm out of they dang reach
How would you feel if niggas wanted you killed?
You'd probably move to a new house on a new hill
And choose a new spot, if niggas wanted you shot
I ain't a thug, how much 2Pac in you you got?
I ain't no bitch, neither
It's either my life or your life and I ain't leavin', I like breathin'
'Cause nigga, we can go round for round
Clip for clip, shit, fo'-pound for pound
Nigga, if you really want to take it there, we can
Just remember that you fuckin' with a family man
I got a lot more to lose than you, remember that
When you wanna come and fill these shoes (The watcher)

[Chorus: Eminem & Knoc-turn'al]
'Cause everywhere that I go
Ain't the same as befo' (The watcher)
People I used to know
Just don't know me no mo' (The watcher)
But everywhere that I go
I got people I know (The watcher)
Who got people they know
So I suggest you lay low (I watch)

[Verse 3: Dr. Dre]
Things just ain't the same for gangstas
Cops is anxious to put niggas in handcuffs
They wanna hang us, see us dead, or enslave us
Keep us trapped in the same place we was raised in
Then they wonder why we act so outrageous
Run around stressed out and pull out gauges
'Cause every time you let the animal out cages
It's dangerous to people who look like strangers
But now we got a new era of gangstas
Hustlers and youngsters livin' amongst us
Lookin' at us, now callin' us busters
Can't help but reminisce back when it was us
Nigga, we started this gangsta shit!
And this the motherfuckin' thanks I get?
It's funny how time flies
I'm just having fun just watchin' it fly by (The watcher)

[Chorus: Eminem & Knoc-turn'al]
'Cause everywhere that I go
Ain't the same as befo' (The watcher)
People I used to know
Just don't know me no mo' (The watcher)
But everywhere that I go
I got people I know (The watcher)
Who got people they know
So I suggest you lay low (I watch)

[Outro: Knock-Turn'al]
The watcher
I'm watching
The watcher
The watcher",westcoast
2,Fuck You,205453,59,77,2001,1,True,3,1999-11-16,Dr. Dre,0.879,0.567,9,-3.923,0,0.416,0.264,0,0.119,0.759,92.17,4,"[Intro: Girl on answering machine]
Hi, baby
I know you're under a lot of pressure at your work and all
And I do understand
You have no idea how much I understand
But you also don't have any idea how much I love you
I love you so much
I think about you I feel you in my arms
I miss you... I miss you terribly
I've just always wanted someone like you in my life
I love you so much that I'd do anything
I'd do anything
I'll be your perfect woman for you

[Verse 1: Dr. Dre]
I just wanna fuck bad bitches
All them nights I never had bitches
Now I'm all up in that ass, bitches
Mad at your boyfriend, ain't 'cha?
You'se a bad girl, gotta spank ya
And gotta thank ya for that head clinic
Explicit, hella photogenic
And tell your friends where the dick's at
Where they can get hit and won't get back to they soulmate
Before you kiss 'em, use Colgate
She swallowed it, yeah, the bitch took the whole eight
And ran with it, then let Mel-Man hit it
And Hittman hit it; damn, bitches
Man, this is what I'm talkin' 'bout
Chicken head, chicken fed, with a dick in your mouth
Out and about with your nigga like it never took place
(AirTouch me) Next time you need a taste

[Chorus: Devin the Dude]
I just wanna fuck you
No touchin' and rubbin', girl
You've got a husband who loves you
Don't need you all in mine
I just wanna fuck you
We can't be kissin' and huggin', girl
You've got a husband who loves you
You need to give him your quality time

[Verse 2: Devin the Dude]
You got the number, it's on you to make the call
You know I come quick, help you redecorate your walls
Cut your backyard, don’t have to act hard to get the cock
And if I'm going too far, I take it out and wipe it off
And put it back up, and keep going
You tryin' to hide it from your husband, but I know he be knowin'
That your pussy's been tampered with
Did you show him that new trick
Of how you can make it smoke a cancer stick?
You be workin' it like a dancer, bitch; it's hard on me
Not to give you all of my time that you wanted
You can give me some head, but keep the breakfast in bed
I'd rather spend my morning diggin' through some records instead
But tonight, I guess it'd be aight if we can touch bases
Hook up somewhere and exchange some Fuck Faces
I know your man's looking for ya, he's always trying to run ya
Don't worry 'bout me handcuffin', girl, 'cause I just wanna

[Verse 3: Snoop Dogg]
Fuck witchu on the sneak tip, on some creep shit
So whatcha gon' do, you freak bitch?
You acting like you don't do dicks
That's the kinda bitch I hate fuckin' with
Baby was a virgin, that's what she said
So I gave her some Hennessy, she gave me some head
I fucked her on the floor so I wouldn't mess up my bed
Then Lil' ½ Dead put his dick on her head
Take that bitch home and give her a bone
And give her the number to my cellular phone
Now she's blowin' up my pager, the shit's gettin' major
A favor for a favor, this dick is what I gave her
Somethin' to go by and bitches know why
Stuff dick in they mouth and then I'm out (See ya!)
24/7, Dre, Snoop and Devin
We servin' these hoes and never lovin' these hoes, biatch

[Chorus: Devin the Dude]
I just wanna fuck you
No touchin' and rubbin', girl
You've got a husband who loves you
Don't need you all in mine
I just wanna fuck you
We can't be kissin' and huggin', girl
You've got a husband who loves you
You need to give him your quality time",westcoast
3,Still D.R.E.,270586,75,77,2001,1,True,4,1999-11-16,Dr. Dre,0.821,0.774,11,-3.418,1,0.235,0.177,0.000676,0.0577,0.547,93.425,4,"[Produced by Dr. Dre, Scott Storch and Mel-Man]

[Intro: Snoop Dogg & Dr. Dre]
Yeah, nigga, we're still fuckin' with you
Still waters run deep
Still Snoop Dogg and D.R.E.
'99, nigga,  guess who's back
Still, still doin' that shit, Andre?
Oh for sho'
Yeah
Check me out

[Verse 1: Dr. Dre & Snoop Dogg]
It's still Dre Day nigga, AK nigga
Though I've grown a lot, can't keep it home a lot
‘Cause when I frequent the spots that I'm known to rock
You hear the bass from the truck when I'm on the block
Ladies they pay homage, but haters say Dre fell off
How? Nigga, my last album was The Chronic
They wanna know if he still got it
They say rap's changed, they wanna know how I feel about it
(If you ain't up on thangs)
Dr. Dre is the name, I'm ahead of my game
Still puffin' my leaves, still fuck with the beats
Still not lovin' police (Uh-uh)
Still rock my khakis with a cuff and a crease (For sho')
Still got love for the streets, reppin' 213 (For life)
Still the beats bang, still doin' my thang
Since I left ain't too much changed, still

[Hook: Snoop Dogg & Dr. Dre]
I'm representin' for them gangstas all across the world
(Still) Hittin' them corners in them lo-lo's, girl
Still takin' my time to perfect the beat
And I still got love for the streets, it's the D.R.E.
I'm representin' for them gangstas all across the world
(Still) Hittin' them corners in them lo-lo's, girl
Still takin' my time to perfect the beat
And I still got love for the streets, it's the D.R.E.

[Verse 2: Dr. Dre]
Since the last time you heard from me I lost some friends
Well, hell, me and Snoop, we dippin' again
Kept my ear to the streets, signed Eminem
He's triple platinum, doin' 50 a week
Still, I stay close to the heat
And even when I was close to defeat, I rose to my feet
My life's like a soundtrack I wrote to the beat
Treat rap like Cali weed: I smoke 'til I sleep
Wake up in the A.M., compose a beat
I bring the fire 'til you're soakin' in your seat
It's not a fluke, it's been tried, I'm the truth
Since ""Turn Off the Lights"" from the World Class Wreckin Cru
I'm still at it, after mathematics
In the home of drive-by's and ak-matics
Swap meets, sticky green, and bad traffic
I dip through, then I get skin, D.R.E.

[Hook: Snoop Dogg & Dr. Dre]
I'm representin' for them gangstas all across the world
(Still) Hittin' them corners in them lo-lo's, girl
Still takin' my time to perfect the beat
And I still got love for the streets, it's the D.R.E.
I'm representin' for them gangstas all across the world
(Still) Hittin' them corners in them lo-lo's, girl
Still takin' my time to perfect the beat
And I still got love for the streets, it's the D.R.E.

[Verse 3: Dr. Dre & Snoop Dogg]
It ain't nothin' but more hot shit
Another classic CD for y'all to vibe with
Whether you're coolin' on the corner with your fly bitch
Laid back in the shack, play this track
I'm representin' for the gangstas all across the world
Still (Hittin' them corners in them lo-lo's, girl)
I'll break your neck, damn near put your face in your lap
Niggas try to be the king, but the ace is back
(So if you ain't up on thangs)
Dr. Dre be the name, still runnin' the game
Still got it wrapped like a mummy
Still ain't trippin', love to see young blacks get money
Spend time out the hood, take they moms out the hood
Hit my boys off with jobs, no more livin' hard
Barbeques every day, drivin' fancy cars
Still gon' get mine regardless (Still)

[Hook: Snoop Dogg (& Dr. Dre)]
I'm representin' for them gangstas all across the world
(Still) Hittin' them corners in them lo-lo's, girl
Still takin' my time to perfect the beat
And I still got love for the streets, it's the D.R.E.
I'm representin' for them gangstas all across the world
(Still) Hittin' them corners in them lo-lo's, girl
Still takin' my time to perfect the beat
And I still got love for the streets, it's the D.R.E.
I'm representin' for them gangstas all across the world
(Still) Hittin' them corners in them lo-lo's, girl
Still takin' my time to perfect the beat
And I still got love for the streets, it's the D.R.E.

[Outro: Snoop Dogg]
Right back up in your mothafuckin' ass
9-5 plus four pennies! Add that shit up
D.R.E. right back up on top of thangs
Smoke some with your Dogg
No stress, no seeds, no stems, no sticks!
Some of that real sticky icky icky
Ooh wee! Put it in the air!
Boy, you's a fool, D-R",westcoast
4,Big Ego's,238306,53,77,2001,1,True,5,1999-11-16,Dr. Dre,0.823,0.816,4,-1.48,0,0.249,0.582,6.95e-06,0.235,0.485,88.688,4,"[Spoken Intro]
Los Angeles approach control
This is Cessna 0281-Echo-119.3, over
Cessna 81-Echo, Los Angeles approach control, roger, go ahead
Cessna 81-Echo is over the Compton Airport, 5-2 at 5000
Requesting ground controlled approach
To the Los Angeles Airport, over
81-Echo, Los Angeles approach controlled, roger
Radar identification; turn right, heading
0-3-0

[Verse 1: Dr. Dre]
I got mo' class than most of 'em, ran with the best of 'em
Forgave the less of 'em and blazed at the rest of 'em
What can I say? Cali-for-ni-a
Where niggas die every day over some shit they say
Disconnected from the streets forever
As long as I got a Beretta, nigga, I'm down for whateva
I roll with my shit off safety, for niggas that been hatin' me lately
And the bitches that wanna break me
If Cali blew up, I'd be in the Aftermath
Bumpin' gangsta rap shit, down to blast for cash
'Cause from Eazy-E, to D.O.C., to D.P.G
Started from that S.O.B., D.R.E
Like Dub-C, I'm rich rollin', pistol holdin'
Pockets swole nigga, that's how I'm rollin'
Put the flame to the killer, nigga
Worldwide homicide mob figure in the building, for real
I'm hittin' switches, makin' bitches eat bitches
See me grab my dick every time I pose for pictures
I own acres, floor seats watchin' the Lakers
I'm cool with eses who got AK's in cases

[Chorus: Hittman]
Dedicated to all of those with big egos
Never fakin', we get the dough and live legal
Haters hate this, we sip the Mo' and yank the Heezos
Niggas play this in their Rovers, Jeeps and Regals
Dedicated to all of those with big egos
Never fakin', we get the dough and live legal
Haters hate this, we sip the Mo' and yank the Heezos
Bitches play this in their Benzes, Jeeps and Geos

[Verse 2: Hittman]
I'll bust a Mr. Toughy, slash a Smoovy Doovy
Crashin' Flex on Tuesdays, harassin' hoes at movies
Passin' by with Uzis, like who you aiming at?
That shady bitch and that bitch nigga that was claimin' that
Rat-a-tat-tat
*Automatic gunfire, screaming, followed by tires peeling*
I don't sympathize for wack hoes and wimpy guys
You gotta recognize Hittman is an enterprise
Cali pride, Bronson rider South Central-ised
The Henny got me energized, smoke the guys
Tryna focus on mines, poke they eyes out, I'm L.A.'s loc'est
Hope they don't have to find out the hard way
Like snitch niggas in the pen that get hit
When the guards look the other way
We hittin' hard – Hittman and Dre
You playin' games? I suggest you know the rules
We puttin' guns to fools, make you run yo jewels
Take yo honey and cruise to the Snooty & snooze, cop booze
Pop coochie 'til the nut oozes, you shouldn't fuck with crews
That's sick, the aftermath is we rule shit
I'm Big Hitt, don't confuse me with no other
'Bout to blow, motherfucker

[Chorus: Hittman]
Dedicated to all of those with big egos
Never fakin', we get the dough and live legal
Haters hate this, we sip the Mo' and yank the Heezos
Niggas play this in their Rovers, Jeeps and Regals
Dedicated to all of those with big egos
Never fakin', we get the dough and live legal
Haters hate this,we sip the Mo' and yank the Heezos
Bitches play this in their Benzes, Jeeps and Geos

[Outro: Hittman]
You look like AC Green, bitch, don't call here anymore
With feet like Ben Vereen's, bitch, don't call here anymore
No no, no no
What up? It's Hittman
I ain't at the crib right now
So you can leave your name and number after the beep
Unless it's Tammie's ugly ass – I ain't fuckin' with you",westcoast
5,Xxplosive,215200,64,77,2001,1,True,6,1999-11-16,Dr. Dre,0.78,0.882,1,-4.368,1,0.134,0.201,1.07e-05,0.15,0.926,168.955,4,"[Intro: Hittman]
Explosive, West coast shit
My nigga-ish ways attract girls that used to turn they back
Causin' me to yank they arm, impose like I would do them harm
Now I'm sayin' ""Thank you"" 'cause they tell me my shit's the bomb
Explosive
For my niggas drinking Cognac, smokin' weed, always pack
More than one firearm, chrome rims, ridin' on
Chronic in your system, let me know my shit's the bomb
Explosive

[Verse 1: Kurupt]
West Coast shit, nigga
Overdosage imperial pistols ferocious
Fuck a bitch, don't tease, bitch – strip tease, bitch
Eat a bowl of these, bitch, gobble the dick
Hoes forgot to eat a dick can shut the fuck up (Fuck up, bitch)
Gobble and swallow a nut up, shut up and get my cash (Cash)
Backhanded, pimp-slapped backwards and left stranded
Just pop ya collar, pimp convention, hoes for a dollar
Six-Deuce in a plush, six-deuce Impala
Pimpin' hoes from Texas to Guatemala
Bitch niggas pay for hoes (Hoes), just to lay with hoes (Hoes)
Relax one night, and pay to stay with hoes (Hoes)
Captain 'Save-'em-all-day' (Bitch), well, save this dick
Bitch nigga, you more of a bitch than a bitch
You ain't into hittin' pussy or hittin' the switch
You into hittin' bitches all for the grip, you punk bitch

[Verse 2: Nate Dogg]
All my real dogs still kick it with me
All my down hoes still trickin' with me
All the true gangstas know
Nate ain't never love no ho
All the hoodrats still shake it for me
All my true fans still checkin' for me
All the real smokers know
Nate ain't passin' nothin' but dro indeed
Real trees, chronic leaves, no seeds
When I met you last night, baby
Before I blew your mind (Blew, blew, blew your mind)
I thought we had a chance, lady
No more, now that I'm sober, you ain't that fine (Mmm)
Don't wanna treat you wrong
Don't wanna lead you on
Here, baby, hit the bong
While the West Coast rolls along
While we still makin' gangsta hits
You'll be still jockin' gangsta dicks
Damn, girl, you think you're slick?
Somebody better get this bitch, this bitch

[Verse 3: Six2]
I got these freaky hoes clapping they hands, stomping they feet
Every now and then, they put they mouth on me
Nowadays, a G like me can't even call it
A 23-year-old pussy fiend and freakaholic
Pimpin' bitches on the regular, I put that on the G
A hustler and a player, nowadays, it pays to be
Let me drop some shit about this bitch I used to know
She gave your boy the head and said, ""Don't let nobody know""
A bonafide pro, I had to grab the ho
She got freaky in your '64, I skeeted in her throat
Been knowin' the ho for four days, pimpery pays
And I bet you didn't know that she go both ways
She ate her best friend, I left them hoes at the mo
They be beepin' me and shit, but we don't kick it no mo'
Them hot hoes is fiendin', they on the nuts
But bitch, I'm out your pussy when I nut, fo' real

[Outro]
Explosive!",westcoast
6,What's The Difference,244200,64,77,2001,1,True,7,1999-11-16,Dr. Dre,0.792,0.825,11,-0.362,0,0.23,0.238,0,0.186,0.696,91.907,4,"[Produced by Dr. Dre & Mel-Man]

[Intro: Phish]
What's the difference between me and you?
What's the difference between me and you?

[Verse 1: Dr. Dre]
Back when Cube was rollin' with Lorenzo in a Benzo
I was bangin' with a gang of instrumentals
Got the pens and pencils, got down to business
But sometimes the business end of this shit
Can turn your friends against you
But you was a real nigga, I could sense it in you
I still remember the window of the car that you went through
That's fucked up, but I'll never forget the shit we been through
And I'ma do whatever it takes to convince you
'Cause you my nigga, Doc, and Eazy, I'm still with you
Fuck the beef, nigga, I miss you
And that's just being real with you
You see the truth is
Everybody wanna know how close me and Snoop is
And who I'm still cool with
Then I got these fake-ass niggas I first blew with
Claimin' that they non-violent, talkin' like they
(Do not resist the beat)
Spit venom in interviews, speakin' on reunions
Move units, then talk shit and we can do this
Until then, I ain't even speakin' your name
Just keep my name outta your mouth
And we can keep it the same, nigga
It ain't that I'm too big to listen to the rumors
It's just that I'm too damn big to pay attention to 'em
That's the difference

[Hook: Phish]
What's the difference between me and you?
You talk a good one, but you don't do what you supposed to do
I act on what I feel and never deal with emotions
I'm used to livin' big dog style and straight coastin'
What's the difference between me and you?
You talk a good one, but you don't do what you supposed to do
I act on what I feel and never deal with emotions
I'm used to livin' big dog style and straight coastin'

[Verse 2: Xzibit]
Yo, I stay with it, while you try to perpetrate and play with it
Never knew about the next level until Dre did it
I stay committed while you motherfuckers babysitted
I smash you critics like a overhand right from Riddick
Come and get it, shitted on villains by the millions
I be catchin' bitches while bitches be catchin' feelings
So what the fuck am I supposed to do?
I pop bottles and hot hollow-points at each and all of you
A heartless bastard, high and plastered
My style is like the reaction from too much acid
Never come down, pass it around if you can't handle it
Hang Hollywood niggas by they Soul Train laminates
What's the difference between me and you? (What?)
About five bank accounts, three ounces, and two vehicles
Until my death, I'm Bangladesh
I suggest you hold yo' breath 'til ain't none left
Yo, that's the difference!

[Hook: Phish]
What's the difference between me and you?
You talk a good one, but you don't do what you supposed to do
I act on what I feel and never deal with emotions
I'm used to livin' big dog style and straight coastin'
What's the difference between me and you?
You talk a good one, but you don't do what you supposed to do
I act on what I feel and never deal with emotions
I'm used to livin' big dog style and straight coastin'

[Verse 3: Eminem & Dr. Dre]
A'ight, hold up, hold up!
Stop the beat a minute, I got somethin' to say, Dre
I wanna tell you this shit right now
While this fuckin' weed is in me (What the fuck?)
I don't know if I ever told you this
But I love you, dog, I got your motherfuckin' back
(Right) Just know this shit
Slim, I don't know if you noticed it
But I've had your back from day one,
Nigga, let's blow this bitch
I mean it dog, you ever need somebody offed:
""Whose throat is it?""
Well if you ever kill that Kim bitch
I'll show you where the ocean is
Well, that's cool, and I appreciate the offer
But if I do decide to really murder my daughter's momma
I'ma sit her up in the front seat and put sunglasses on her
And cruise around with her for seven hours through California
And have her wavin' at people (Hi!)
Then drop her off on the corner at the police station
